"prtage","pesex","ptdtrace","pehspnon","prcitshp","peeduca","work"
23,"FEMALE","Asian Only","NON-HISPANIC","NATIVE, BORN IN THE UNITED","SOME COLLEGE BUT NO DEGREE","flexible"
30,"FEMALE","White Only","NON-HISPANIC","NATIVE, BORN IN THE UNITED","BACHELOR'S DEGREE","flexible"
64,"MALE","White Only","NON-HISPANIC","NATIVE, BORN IN THE UNITED","HIGH SCHOOL GRAD-DIPLOMA OR","not flexible"
67,"MALE","White Only","NON-HISPANIC","NATIVE, BORN IN THE UNITED","ASSOCIATE DEGREE-OCCUPATIONAL/","not flexible"
54,"MALE","White Only","NON-HISPANIC","NATIVE, BORN IN THE UNITED","MASTER'S DEGREE (EX: MA, MS,","not flexible"
43,"MALE","White Only","NON-HISPANIC","NATIVE, BORN IN THE UNITED","SOME COLLEGE BUT NO DEGREE","not flexible"
44,"FEMALE","White Only","NON-HISPANIC","NATIVE, BORN IN THE UNITED","HIGH SCHOOL GRAD-DIPLOMA OR","flexible"
58,"MALE","Black Only","NON-HISPANIC","NATIVE, BORN IN THE UNITED","11TH GRADE","not flexible"
22,"MALE","White Only","NON-HISPANIC","NATIVE, BORN IN THE UNITED","HIGH SCHOOL GRAD-DIPLOMA OR","flexible"
50,"MALE","White Only","NON-HISPANIC","NATIVE, BORN IN THE UNITED","BACHELOR'S DEGREE","not flexible"
54,"FEMALE","White Only","NON-HISPANIC","NATIVE, BORN IN THE UNITED","MASTER'S DEGREE (EX: MA, MS,","not flexible"
47,"MALE","White Only","NON-HISPANIC","NATIVE, BORN IN THE UNITED","HIGH SCHOOL GRAD-DIPLOMA OR","flexible"
33,"MALE","White Only","HISPANIC","FOREIGN BORN, NOT A CITIZEN OF","HIGH SCHOOL GRAD-DIPLOMA OR","flexible"
16,"MALE","White Only","NON-HISPANIC","NATIVE, BORN IN THE UNITED","9TH GRADE","flexible"
28,"MALE","White Only","NON-HISPANIC","NATIVE, BORN IN THE UNITED","HIGH SCHOOL GRAD-DIPLOMA OR","flexible"
25,"FEMALE","White Only","NON-HISPANIC","NATIVE, BORN IN THE UNITED","BACHELOR'S DEGREE","flexible"
41,"FEMALE","Asian Only","NON-HISPANIC","FOREIGN BORN, U.S. CITIZEN BY","ASSOCIATE DEGREE-ACADEMIC","flexible"
50,"FEMALE","White Only","NON-HISPANIC","NATIVE, BORN IN THE UNITED","MASTER'S DEGREE (EX: MA, MS,","not flexible"
32,"FEMALE","White-AI","HISPANIC","NATIVE, BORN IN THE UNITED","SOME COLLEGE BUT NO DEGREE","flexible"
29,"MALE","White Only","NON-HISPANIC","NATIVE, BORN IN THE UNITED","MASTER'S DEGREE (EX: MA, MS,","flexible"
34,"MALE","White Only","NON-HISPANIC","FOREIGN BORN, U.S. CITIZEN BY","HIGH SCHOOL GRAD-DIPLOMA OR","flexible"
41,"MALE","White Only","NON-HISPANIC","NATIVE, BORN IN THE UNITED","SOME COLLEGE BUT NO DEGREE","flexible"
18,"FEMALE","White Only","NON-HISPANIC","NATIVE, BORN IN THE UNITED","11TH GRADE","flexible"
35,"MALE","White Only","NON-HISPANIC","NATIVE, BORN IN THE UNITED","10TH GRADE","flexible"
58,"FEMALE","White Only","NON-HISPANIC","NATIVE, BORN IN THE UNITED","SOME COLLEGE BUT NO DEGREE","not flexible"
42,"MALE","White Only","NON-HISPANIC","NATIVE, BORN IN THE UNITED","HIGH SCHOOL GRAD-DIPLOMA OR","not flexible"
44,"MALE","Asian Only","NON-HISPANIC","FOREIGN BORN, NOT A CITIZEN OF","HIGH SCHOOL GRAD-DIPLOMA OR","not flexible"
63,"FEMALE","White Only","NON-HISPANIC","NATIVE, BORN IN THE UNITED","MASTER'S DEGREE (EX: MA, MS,","not flexible"
53,"MALE","White Only","NON-HISPANIC","FOREIGN BORN, NOT A CITIZEN OF","HIGH SCHOOL GRAD-DIPLOMA OR","flexible"
23,"MALE","White Only","NON-HISPANIC","NATIVE, BORN IN THE UNITED","SOME COLLEGE BUT NO DEGREE","flexible"
40,"FEMALE","White Only","NON-HISPANIC","NATIVE, BORN IN THE UNITED","HIGH SCHOOL GRAD-DIPLOMA OR","flexible"
34,"MALE","White Only","NON-HISPANIC","NATIVE, BORN IN THE UNITED","BACHELOR'S DEGREE","flexible"
35,"MALE","White Only","NON-HISPANIC","NATIVE, BORN IN THE UNITED","SOME COLLEGE BUT NO DEGREE","flexible"
44,"FEMALE","White Only","NON-HISPANIC","NATIVE, BORN IN THE UNITED","ASSOCIATE DEGREE-ACADEMIC","flexible"
27,"MALE","Black Only","HISPANIC","NATIVE, BORN IN THE UNITED","BACHELOR'S DEGREE","flexible"
60,"MALE","White Only","NON-HISPANIC","NATIVE, BORN IN THE UNITED","BACHELOR'S DEGREE","not flexible"
45,"MALE","White Only","NON-HISPANIC","NATIVE, BORN IN THE UNITED","MASTER'S DEGREE (EX: MA, MS,","not flexible"
37,"MALE","White Only","NON-HISPANIC","NATIVE, BORN IN THE UNITED","HIGH SCHOOL GRAD-DIPLOMA OR","flexible"
15,"FEMALE","White Only","NON-HISPANIC","NATIVE, BORN IN THE UNITED","7TH OR 8TH GRADE","flexible"
40,"MALE","White Only","NON-HISPANIC","NATIVE, BORN IN THE UNITED","HIGH SCHOOL GRAD-DIPLOMA OR","flexible"
44,"MALE","White Only","NON-HISPANIC","NATIVE, BORN IN THE UNITED","HIGH SCHOOL GRAD-DIPLOMA OR","not flexible"
48,"MALE","White Only","NON-HISPANIC","NATIVE, BORN IN THE UNITED","HIGH SCHOOL GRAD-DIPLOMA OR","flexible"
48,"FEMALE","White Only","NON-HISPANIC","NATIVE, BORN IN THE UNITED","9TH GRADE","not flexible"
46,"FEMALE","White Only","NON-HISPANIC","NATIVE, BORN IN THE UNITED","MASTER'S DEGREE (EX: MA, MS,","not flexible"
44,"FEMALE","White Only","NON-HISPANIC","NATIVE, BORN IN THE UNITED","SOME COLLEGE BUT NO DEGREE","flexible"
24,"MALE","White Only","NON-HISPANIC","NATIVE, BORN IN THE UNITED","11TH GRADE","flexible"
44,"MALE","White Only","NON-HISPANIC","NATIVE, BORN IN THE UNITED","ASSOCIATE DEGREE-OCCUPATIONAL/","flexible"
72,"FEMALE","White Only","NON-HISPANIC","NATIVE, BORN IN THE UNITED","HIGH SCHOOL GRAD-DIPLOMA OR","not flexible"
23,"FEMALE","White Only","NON-HISPANIC","NATIVE, BORN IN THE UNITED","SOME COLLEGE BUT NO DEGREE","flexible"
53,"MALE","White Only","NON-HISPANIC","NATIVE, BORN IN THE UNITED","DOCTORATE DEGREE","not flexible"
43,"MALE","White Only","NON-HISPANIC","NATIVE, BORN IN THE UNITED","HIGH SCHOOL GRAD-DIPLOMA OR","not flexible"
27,"FEMALE","Asian Only","NON-HISPANIC","NATIVE, BORN ABROAD OF","SOME COLLEGE BUT NO DEGREE","flexible"
51,"MALE","White Only","NON-HISPANIC","NATIVE, BORN IN THE UNITED","MASTER'S DEGREE (EX: MA, MS,","not flexible"
40,"FEMALE","White Only","NON-HISPANIC","NATIVE, BORN IN THE UNITED","SOME COLLEGE BUT NO DEGREE","flexible"
49,"MALE","White Only","NON-HISPANIC","NATIVE, BORN IN THE UNITED","BACHELOR'S DEGREE","not flexible"
63,"FEMALE","White Only","NON-HISPANIC","NATIVE, BORN IN THE UNITED","MASTER'S DEGREE (EX: MA, MS,","not flexible"
21,"MALE","Asian Only","NON-HISPANIC","NATIVE, BORN IN THE UNITED","SOME COLLEGE BUT NO DEGREE","flexible"
45,"FEMALE","White Only","NON-HISPANIC","NATIVE, BORN IN THE UNITED","HIGH SCHOOL GRAD-DIPLOMA OR","not flexible"
38,"MALE","White Only","NON-HISPANIC","NATIVE, BORN IN THE UNITED","SOME COLLEGE BUT NO DEGREE","not flexible"
15,"MALE","White Only","NON-HISPANIC","NATIVE, BORN IN THE UNITED","10TH GRADE","flexible"
67,"MALE","White Only","NON-HISPANIC","NATIVE, BORN IN THE UNITED","BACHELOR'S DEGREE","not flexible"
25,"MALE","White Only","NON-HISPANIC","NATIVE, BORN IN THE UNITED","SOME COLLEGE BUT NO DEGREE","flexible"
37,"FEMALE","White Only","NON-HISPANIC","NATIVE, BORN IN THE UNITED","BACHELOR'S DEGREE","flexible"
46,"FEMALE","Black Only","NON-HISPANIC","NATIVE, BORN IN THE UNITED","SOME COLLEGE BUT NO DEGREE","not flexible"
60,"MALE","White Only","NON-HISPANIC","NATIVE, BORN IN THE UNITED","SOME COLLEGE BUT NO DEGREE","not flexible"
40,"MALE","White Only","NON-HISPANIC","NATIVE, BORN IN THE UNITED","BACHELOR'S DEGREE","flexible"
29,"MALE","American Indian, Alaskan","NON-HISPANIC","NATIVE, BORN IN THE UNITED","HIGH SCHOOL GRAD-DIPLOMA OR","flexible"
53,"MALE","White Only","NON-HISPANIC","NATIVE, BORN IN THE UNITED","BACHELOR'S DEGREE","not flexible"
62,"FEMALE","White Only","NON-HISPANIC","NATIVE, BORN IN THE UNITED","HIGH SCHOOL GRAD-DIPLOMA OR","not flexible"
51,"FEMALE","White Only","HISPANIC","NATIVE, BORN IN THE UNITED","BACHELOR'S DEGREE","flexible"
58,"FEMALE","White Only","NON-HISPANIC","NATIVE, BORN IN THE UNITED","HIGH SCHOOL GRAD-DIPLOMA OR","not flexible"
29,"FEMALE","White Only","NON-HISPANIC","NATIVE, BORN IN THE UNITED","BACHELOR'S DEGREE","flexible"
48,"MALE","White Only","NON-HISPANIC","NATIVE, BORN IN THE UNITED","MASTER'S DEGREE (EX: MA, MS,","flexible"
71,"MALE","White Only","NON-HISPANIC","NATIVE, BORN IN THE UNITED","HIGH SCHOOL GRAD-DIPLOMA OR","not flexible"
69,"MALE","White Only","HISPANIC","NATIVE, BORN IN THE UNITED","HIGH SCHOOL GRAD-DIPLOMA OR","not flexible"
44,"MALE","White Only","NON-HISPANIC","NATIVE, BORN IN THE UNITED","MASTER'S DEGREE (EX: MA, MS,","flexible"
49,"MALE","White Only","NON-HISPANIC","NATIVE, BORN ABROAD OF","ASSOCIATE DEGREE-OCCUPATIONAL/","flexible"
48,"MALE","White Only","NON-HISPANIC","NATIVE, BORN IN THE UNITED","HIGH SCHOOL GRAD-DIPLOMA OR","flexible"
47,"MALE","White Only","NON-HISPANIC","FOREIGN BORN, NOT A CITIZEN OF","BACHELOR'S DEGREE","flexible"
33,"MALE","White Only","NON-HISPANIC","NATIVE, BORN IN THE UNITED","HIGH SCHOOL GRAD-DIPLOMA OR","flexible"
45,"MALE","White Only","NON-HISPANIC","NATIVE, BORN IN THE UNITED","HIGH SCHOOL GRAD-DIPLOMA OR","flexible"
17,"FEMALE","White Only","NON-HISPANIC","NATIVE, BORN IN THE UNITED","10TH GRADE","flexible"
32,"MALE","White Only","NON-HISPANIC","NATIVE, BORN IN THE UNITED","HIGH SCHOOL GRAD-DIPLOMA OR","flexible"
50,"MALE","White Only","NON-HISPANIC","NATIVE, BORN ABROAD OF","HIGH SCHOOL GRAD-DIPLOMA OR","flexible"
19,"FEMALE","White Only","NON-HISPANIC","NATIVE, BORN IN THE UNITED","SOME COLLEGE BUT NO DEGREE","flexible"
38,"FEMALE","White Only","NON-HISPANIC","NATIVE, BORN IN THE UNITED","BACHELOR'S DEGREE","not flexible"
37,"MALE","White Only","NON-HISPANIC","NATIVE, BORN IN THE UNITED","SOME COLLEGE BUT NO DEGREE","not flexible"
53,"MALE","White Only","NON-HISPANIC","NATIVE, BORN IN THE UNITED","BACHELOR'S DEGREE","not flexible"
36,"MALE","White Only","NON-HISPANIC","NATIVE, BORN IN THE UNITED","SOME COLLEGE BUT NO DEGREE","flexible"
32,"FEMALE","White Only","NON-HISPANIC","NATIVE, BORN IN THE UNITED","HIGH SCHOOL GRAD-DIPLOMA OR","flexible"
40,"MALE","White Only","NON-HISPANIC","NATIVE, BORN IN THE UNITED","DOCTORATE DEGREE","flexible"
47,"FEMALE","White Only","NON-HISPANIC","NATIVE, BORN IN THE UNITED","HIGH SCHOOL GRAD-DIPLOMA OR","flexible"
46,"MALE","White-Asian","NON-HISPANIC","NATIVE, BORN IN THE UNITED","BACHELOR'S DEGREE","flexible"
31,"FEMALE","Black Only","NON-HISPANIC","NATIVE, BORN IN THE UNITED","ASSOCIATE DEGREE-OCCUPATIONAL/","flexible"
61,"FEMALE","White Only","NON-HISPANIC","NATIVE, BORN IN THE UNITED","HIGH SCHOOL GRAD-DIPLOMA OR","not flexible"
43,"FEMALE","White Only","NON-HISPANIC","NATIVE, BORN IN THE UNITED","BACHELOR'S DEGREE","not flexible"
51,"MALE","White Only","NON-HISPANIC","FOREIGN BORN, U.S. CITIZEN BY","PROFESSIONAL SCHOOL DEG","flexible"
57,"FEMALE","White Only","NON-HISPANIC","NATIVE, BORN IN THE UNITED","MASTER'S DEGREE (EX: MA, MS,","not flexible"
27,"FEMALE","White Only","NON-HISPANIC","NATIVE, BORN IN THE UNITED","BACHELOR'S DEGREE","flexible"
18,"MALE","White Only","NON-HISPANIC","NATIVE, BORN IN THE UNITED","11TH GRADE","flexible"
48,"MALE","White Only","NON-HISPANIC","NATIVE, BORN IN THE UNITED","MASTER'S DEGREE (EX: MA, MS,","not flexible"
39,"FEMALE","Black Only","NON-HISPANIC","NATIVE, BORN IN THE UNITED","HIGH SCHOOL GRAD-DIPLOMA OR","flexible"
41,"MALE","White Only","NON-HISPANIC","NATIVE, BORN IN THE UNITED","HIGH SCHOOL GRAD-DIPLOMA OR","not flexible"
45,"MALE","White Only","NON-HISPANIC","NATIVE, BORN IN THE UNITED","11TH GRADE","not flexible"
64,"MALE","White Only","NON-HISPANIC","NATIVE, BORN IN THE UNITED","SOME COLLEGE BUT NO DEGREE","not flexible"
45,"FEMALE","White Only","NON-HISPANIC","NATIVE, BORN IN THE UNITED","SOME COLLEGE BUT NO DEGREE","not flexible"
58,"MALE","White Only","NON-HISPANIC","NATIVE, BORN IN THE UNITED","BACHELOR'S DEGREE","not flexible"
56,"FEMALE","White Only","HISPANIC","NATIVE, BORN IN PUERTO RICO OR","ASSOCIATE DEGREE-OCCUPATIONAL/","not flexible"
39,"FEMALE","White Only","NON-HISPANIC","NATIVE, BORN IN THE UNITED","HIGH SCHOOL GRAD-DIPLOMA OR","not flexible"
31,"FEMALE","Black Only","NON-HISPANIC","NATIVE, BORN IN THE UNITED","HIGH SCHOOL GRAD-DIPLOMA OR","flexible"
67,"MALE","White Only","NON-HISPANIC","NATIVE, BORN IN THE UNITED","BACHELOR'S DEGREE","not flexible"
28,"MALE","White Only","NON-HISPANIC","NATIVE, BORN IN THE UNITED","ASSOCIATE DEGREE-ACADEMIC","flexible"
49,"MALE","White Only","NON-HISPANIC","NATIVE, BORN IN THE UNITED","MASTER'S DEGREE (EX: MA, MS,","not flexible"
36,"MALE","White Only","NON-HISPANIC","NATIVE, BORN IN THE UNITED","SOME COLLEGE BUT NO DEGREE","flexible"
40,"FEMALE","White Only","NON-HISPANIC","NATIVE, BORN IN THE UNITED","HIGH SCHOOL GRAD-DIPLOMA OR","not flexible"
53,"FEMALE","White Only","NON-HISPANIC","NATIVE, BORN IN THE UNITED","SOME COLLEGE BUT NO DEGREE","not flexible"
24,"MALE","White Only","NON-HISPANIC","NATIVE, BORN IN THE UNITED","BACHELOR'S DEGREE","flexible"
49,"MALE","Asian Only","NON-HISPANIC","FOREIGN BORN, NOT A CITIZEN OF","MASTER'S DEGREE (EX: MA, MS,","not flexible"
34,"MALE","White Only","NON-HISPANIC","NATIVE, BORN IN THE UNITED","SOME COLLEGE BUT NO DEGREE","not flexible"
44,"MALE","White Only","NON-HISPANIC","NATIVE, BORN IN THE UNITED","SOME COLLEGE BUT NO DEGREE","flexible"
42,"MALE","White Only","NON-HISPANIC","NATIVE, BORN IN THE UNITED","SOME COLLEGE BUT NO DEGREE","flexible"
44,"MALE","White Only","NON-HISPANIC","FOREIGN BORN, NOT A CITIZEN OF","HIGH SCHOOL GRAD-DIPLOMA OR","not flexible"
44,"MALE","White Only","NON-HISPANIC","NATIVE, BORN IN THE UNITED","SOME COLLEGE BUT NO DEGREE","flexible"
51,"MALE","White Only","NON-HISPANIC","NATIVE, BORN IN THE UNITED","BACHELOR'S DEGREE","not flexible"
59,"FEMALE","White Only","NON-HISPANIC","NATIVE, BORN IN THE UNITED","HIGH SCHOOL GRAD-DIPLOMA OR","not flexible"
46,"MALE","White Only","NON-HISPANIC","NATIVE, BORN IN THE UNITED","HIGH SCHOOL GRAD-DIPLOMA OR","flexible"
50,"MALE","White Only","NON-HISPANIC","NATIVE, BORN IN THE UNITED","MASTER'S DEGREE (EX: MA, MS,","flexible"
61,"MALE","Asian Only","NON-HISPANIC","FOREIGN BORN, U.S. CITIZEN BY","12TH GRADE NO DIPLOMA","not flexible"
41,"FEMALE","White Only","NON-HISPANIC","NATIVE, BORN IN THE UNITED","SOME COLLEGE BUT NO DEGREE","flexible"
60,"FEMALE","White Only","NON-HISPANIC","NATIVE, BORN IN THE UNITED","BACHELOR'S DEGREE","not flexible"
16,"FEMALE","White Only","NON-HISPANIC","NATIVE, BORN IN THE UNITED","11TH GRADE","flexible"
50,"FEMALE","White Only","NON-HISPANIC","NATIVE, BORN IN THE UNITED","BACHELOR'S DEGREE","not flexible"
33,"MALE","White Only","NON-HISPANIC","NATIVE, BORN IN THE UNITED","HIGH SCHOOL GRAD-DIPLOMA OR","flexible"
45,"FEMALE","White Only","NON-HISPANIC","NATIVE, BORN IN THE UNITED","BACHELOR'S DEGREE","flexible"
40,"MALE","White Only","NON-HISPANIC","NATIVE, BORN IN THE UNITED","ASSOCIATE DEGREE-ACADEMIC","flexible"
45,"FEMALE","White Only","NON-HISPANIC","NATIVE, BORN IN THE UNITED","ASSOCIATE DEGREE-ACADEMIC","flexible"
41,"MALE","Black Only","NON-HISPANIC","NATIVE, BORN IN THE UNITED","ASSOCIATE DEGREE-ACADEMIC","flexible"
55,"MALE","White Only","NON-HISPANIC","NATIVE, BORN IN THE UNITED","MASTER'S DEGREE (EX: MA, MS,","not flexible"
60,"FEMALE","White Only","NON-HISPANIC","NATIVE, BORN IN THE UNITED","5TH OR 6TH GRADE","not flexible"
60,"FEMALE","White Only","NON-HISPANIC","NATIVE, BORN IN THE UNITED","BACHELOR'S DEGREE","not flexible"
37,"FEMALE","White Only","NON-HISPANIC","NATIVE, BORN IN THE UNITED","SOME COLLEGE BUT NO DEGREE","flexible"
24,"MALE","White Only","NON-HISPANIC","NATIVE, BORN IN THE UNITED","HIGH SCHOOL GRAD-DIPLOMA OR","flexible"
37,"FEMALE","White Only","NON-HISPANIC","NATIVE, BORN IN THE UNITED","HIGH SCHOOL GRAD-DIPLOMA OR","flexible"
38,"MALE","White Only","NON-HISPANIC","NATIVE, BORN IN THE UNITED","HIGH SCHOOL GRAD-DIPLOMA OR","flexible"
67,"MALE","White Only","NON-HISPANIC","NATIVE, BORN IN THE UNITED","BACHELOR'S DEGREE","not flexible"
32,"FEMALE","White Only","NON-HISPANIC","NATIVE, BORN IN THE UNITED","BACHELOR'S DEGREE","flexible"
48,"MALE","White Only","NON-HISPANIC","NATIVE, BORN IN THE UNITED","BACHELOR'S DEGREE","flexible"
18,"FEMALE","White Only","NON-HISPANIC","NATIVE, BORN IN THE UNITED","SOME COLLEGE BUT NO DEGREE","flexible"
47,"FEMALE","White Only","NON-HISPANIC","NATIVE, BORN IN THE UNITED","MASTER'S DEGREE (EX: MA, MS,","not flexible"
46,"FEMALE","White Only","NON-HISPANIC","NATIVE, BORN IN THE UNITED","SOME COLLEGE BUT NO DEGREE","not flexible"
42,"FEMALE","White Only","NON-HISPANIC","NATIVE, BORN IN THE UNITED","MASTER'S DEGREE (EX: MA, MS,","flexible"
35,"MALE","White Only","NON-HISPANIC","NATIVE, BORN IN THE UNITED","BACHELOR'S DEGREE","not flexible"
30,"FEMALE","White Only","NON-HISPANIC","NATIVE, BORN IN THE UNITED","SOME COLLEGE BUT NO DEGREE","flexible"
47,"MALE","White Only","HISPANIC","NATIVE, BORN IN THE UNITED","11TH GRADE","flexible"
54,"FEMALE","White Only","NON-HISPANIC","FOREIGN BORN, U.S. CITIZEN BY","SOME COLLEGE BUT NO DEGREE","not flexible"
35,"FEMALE","White Only","NON-HISPANIC","NATIVE, BORN IN THE UNITED","BACHELOR'S DEGREE","flexible"
22,"FEMALE","White Only","NON-HISPANIC","NATIVE, BORN IN THE UNITED","SOME COLLEGE BUT NO DEGREE","flexible"
45,"MALE","White Only","NON-HISPANIC","NATIVE, BORN IN THE UNITED","DOCTORATE DEGREE","flexible"
26,"MALE","White Only","NON-HISPANIC","NATIVE, BORN IN THE UNITED","BACHELOR'S DEGREE","flexible"
47,"FEMALE","White Only","NON-HISPANIC","NATIVE, BORN IN THE UNITED","SOME COLLEGE BUT NO DEGREE","not flexible"
42,"FEMALE","White Only","NON-HISPANIC","NATIVE, BORN IN THE UNITED","HIGH SCHOOL GRAD-DIPLOMA OR","flexible"
55,"MALE","White Only","NON-HISPANIC","NATIVE, BORN IN THE UNITED","MASTER'S DEGREE (EX: MA, MS,","not flexible"
47,"FEMALE","White Only","NON-HISPANIC","NATIVE, BORN IN THE UNITED","HIGH SCHOOL GRAD-DIPLOMA OR","flexible"
37,"FEMALE","White Only","NON-HISPANIC","NATIVE, BORN IN THE UNITED","BACHELOR'S DEGREE","flexible"
39,"MALE","White Only","NON-HISPANIC","NATIVE, BORN IN THE UNITED","DOCTORATE DEGREE","flexible"
43,"FEMALE","White Only","NON-HISPANIC","NATIVE, BORN IN THE UNITED","HIGH SCHOOL GRAD-DIPLOMA OR","flexible"
58,"MALE","White Only","NON-HISPANIC","NATIVE, BORN IN THE UNITED","ASSOCIATE DEGREE-ACADEMIC","not flexible"
20,"FEMALE","Asian Only","NON-HISPANIC","FOREIGN BORN, NOT A CITIZEN OF","HIGH SCHOOL GRAD-DIPLOMA OR","flexible"
22,"FEMALE","White Only","NON-HISPANIC","NATIVE, BORN IN THE UNITED","SOME COLLEGE BUT NO DEGREE","flexible"
53,"MALE","White Only","NON-HISPANIC","NATIVE, BORN IN THE UNITED","BACHELOR'S DEGREE","not flexible"
44,"MALE","White Only","NON-HISPANIC","NATIVE, BORN IN THE UNITED","BACHELOR'S DEGREE","flexible"
65,"FEMALE","White Only","HISPANIC","NATIVE, BORN IN THE UNITED","7TH OR 8TH GRADE","not flexible"
49,"MALE","White Only","NON-HISPANIC","NATIVE, BORN IN THE UNITED","BACHELOR'S DEGREE","flexible"
28,"MALE","White Only","NON-HISPANIC","NATIVE, BORN IN THE UNITED","BACHELOR'S DEGREE","flexible"
42,"FEMALE","White Only","NON-HISPANIC","NATIVE, BORN IN THE UNITED","BACHELOR'S DEGREE","flexible"
34,"FEMALE","White Only","NON-HISPANIC","NATIVE, BORN IN THE UNITED","MASTER'S DEGREE (EX: MA, MS,","not flexible"
65,"MALE","White Only","NON-HISPANIC","NATIVE, BORN IN THE UNITED","HIGH SCHOOL GRAD-DIPLOMA OR","not flexible"
46,"FEMALE","White Only","NON-HISPANIC","NATIVE, BORN IN THE UNITED","PROFESSIONAL SCHOOL DEG","flexible"
48,"MALE","White Only","NON-HISPANIC","NATIVE, BORN IN THE UNITED","BACHELOR'S DEGREE","not flexible"
62,"FEMALE","White Only","NON-HISPANIC","NATIVE, BORN IN THE UNITED","HIGH SCHOOL GRAD-DIPLOMA OR","not flexible"
67,"MALE","White Only","NON-HISPANIC","NATIVE, BORN IN THE UNITED","SOME COLLEGE BUT NO DEGREE","not flexible"
41,"MALE","White Only","NON-HISPANIC","NATIVE, BORN IN THE UNITED","HIGH SCHOOL GRAD-DIPLOMA OR","flexible"
37,"FEMALE","White Only","NON-HISPANIC","NATIVE, BORN IN THE UNITED","SOME COLLEGE BUT NO DEGREE","flexible"
34,"FEMALE","White Only","HISPANIC","NATIVE, BORN IN THE UNITED","ASSOCIATE DEGREE-ACADEMIC","flexible"
55,"MALE","White Only","NON-HISPANIC","NATIVE, BORN IN THE UNITED","MASTER'S DEGREE (EX: MA, MS,","not flexible"
47,"FEMALE","White Only","NON-HISPANIC","NATIVE, BORN IN THE UNITED","ASSOCIATE DEGREE-ACADEMIC","flexible"
51,"MALE","White Only","NON-HISPANIC","NATIVE, BORN IN THE UNITED","SOME COLLEGE BUT NO DEGREE","flexible"
44,"FEMALE","White Only","NON-HISPANIC","NATIVE, BORN IN THE UNITED","BACHELOR'S DEGREE","not flexible"
47,"MALE","White Only","NON-HISPANIC","NATIVE, BORN IN THE UNITED","HIGH SCHOOL GRAD-DIPLOMA OR","not flexible"
43,"MALE","White Only","NON-HISPANIC","NATIVE, BORN IN THE UNITED","HIGH SCHOOL GRAD-DIPLOMA OR","not flexible"
59,"MALE","White Only","NON-HISPANIC","NATIVE, BORN IN THE UNITED","SOME COLLEGE BUT NO DEGREE","not flexible"
20,"FEMALE","White Only","NON-HISPANIC","NATIVE, BORN IN THE UNITED","HIGH SCHOOL GRAD-DIPLOMA OR","flexible"
62,"MALE","White Only","NON-HISPANIC","NATIVE, BORN IN THE UNITED","DOCTORATE DEGREE","not flexible"
35,"MALE","White Only","HISPANIC","NATIVE, BORN IN THE UNITED","HIGH SCHOOL GRAD-DIPLOMA OR","flexible"
42,"FEMALE","White Only","NON-HISPANIC","NATIVE, BORN IN THE UNITED","SOME COLLEGE BUT NO DEGREE","flexible"
34,"MALE","White Only","NON-HISPANIC","NATIVE, BORN IN THE UNITED","HIGH SCHOOL GRAD-DIPLOMA OR","flexible"
50,"MALE","White Only","NON-HISPANIC","NATIVE, BORN IN THE UNITED","BACHELOR'S DEGREE","not flexible"
37,"FEMALE","White Only","NON-HISPANIC","NATIVE, BORN IN THE UNITED","MASTER'S DEGREE (EX: MA, MS,","flexible"
26,"FEMALE","White Only","NON-HISPANIC","NATIVE, BORN IN THE UNITED","BACHELOR'S DEGREE","flexible"
51,"MALE","White Only","NON-HISPANIC","NATIVE, BORN IN THE UNITED","BACHELOR'S DEGREE","not flexible"
50,"FEMALE","White Only","NON-HISPANIC","NATIVE, BORN IN THE UNITED","BACHELOR'S DEGREE","not flexible"
44,"MALE","White Only","NON-HISPANIC","NATIVE, BORN IN THE UNITED","BACHELOR'S DEGREE","flexible"
37,"MALE","White Only","NON-HISPANIC","NATIVE, BORN IN THE UNITED","DOCTORATE DEGREE","flexible"
59,"MALE","White Only","NON-HISPANIC","NATIVE, BORN IN THE UNITED","MASTER'S DEGREE (EX: MA, MS,","not flexible"
35,"FEMALE","White Only","NON-HISPANIC","NATIVE, BORN IN THE UNITED","SOME COLLEGE BUT NO DEGREE","flexible"
37,"FEMALE","White Only","HISPANIC","NATIVE, BORN IN THE UNITED","BACHELOR'S DEGREE","flexible"
29,"MALE","Asian Only","NON-HISPANIC","FOREIGN BORN, NOT A CITIZEN OF","MASTER'S DEGREE (EX: MA, MS,","flexible"
40,"MALE","White Only","NON-HISPANIC","NATIVE, BORN IN THE UNITED","BACHELOR'S DEGREE","flexible"
53,"FEMALE","White Only","NON-HISPANIC","NATIVE, BORN IN THE UNITED","MASTER'S DEGREE (EX: MA, MS,","flexible"
59,"MALE","White Only","NON-HISPANIC","FOREIGN BORN, NOT A CITIZEN OF","HIGH SCHOOL GRAD-DIPLOMA OR","not flexible"
68,"MALE","White Only","NON-HISPANIC","NATIVE, BORN IN THE UNITED","9TH GRADE","not flexible"
23,"FEMALE","White Only","NON-HISPANIC","NATIVE, BORN IN THE UNITED","BACHELOR'S DEGREE","flexible"
61,"MALE","White Only","NON-HISPANIC","NATIVE, BORN IN THE UNITED","MASTER'S DEGREE (EX: MA, MS,","not flexible"
49,"FEMALE","White Only","NON-HISPANIC","NATIVE, BORN IN THE UNITED","HIGH SCHOOL GRAD-DIPLOMA OR","flexible"
