"prtage","pesex","ptdtrace","pehspnon","prcitshp","peeduca","vote"
36,"MALE","White Only","NON-HISPANIC","NATIVE, BORN IN THE UNITED","SOME COLLEGE BUT NO DEGREE","vote"
67,"MALE","White Only","NON-HISPANIC","NATIVE, BORN IN THE UNITED","SOME COLLEGE BUT NO DEGREE","did not vote"
36,"FEMALE","Black Only","NON-HISPANIC","NATIVE, BORN IN THE UNITED","SOME COLLEGE BUT NO DEGREE","did not vote"
58,"MALE","Asian Only","NON-HISPANIC","FOREIGN BORN, U.S. CITIZEN BY","BACHELOR'S DEGREE","did not vote"
58,"MALE","White Only","NON-HISPANIC","NATIVE, BORN IN THE UNITED","SOME COLLEGE BUT NO DEGREE","did not vote"
52,"MALE","White Only","NON-HISPANIC","NATIVE, BORN IN THE UNITED","DOCTORATE DEGREE","did not vote"
73,"MALE","White Only","NON-HISPANIC","NATIVE, BORN IN THE UNITED","HIGH SCHOOL GRAD-DIPLOMA OR","did not vote"
80,"FEMALE","White Only","NON-HISPANIC","NATIVE, BORN IN THE UNITED","HIGH SCHOOL GRAD-DIPLOMA OR","did not vote"
33,"FEMALE","White-AI","HISPANIC","NATIVE, BORN IN THE UNITED","HIGH SCHOOL GRAD-DIPLOMA OR","vote"
58,"FEMALE","White Only","NON-HISPANIC","NATIVE, BORN IN THE UNITED","HIGH SCHOOL GRAD-DIPLOMA OR","did not vote"
34,"FEMALE","White Only","NON-HISPANIC","NATIVE, BORN IN THE UNITED","MASTER'S DEGREE (EX: MA, MS,","vote"
33,"FEMALE","White Only","HISPANIC","NATIVE, BORN IN THE UNITED","BACHELOR'S DEGREE","vote"
38,"FEMALE","White Only","NON-HISPANIC","NATIVE, BORN IN THE UNITED","BACHELOR'S DEGREE","did not vote"
38,"MALE","White Only","NON-HISPANIC","NATIVE, BORN IN THE UNITED","SOME COLLEGE BUT NO DEGREE","vote"
36,"MALE","White Only","NON-HISPANIC","NATIVE, BORN IN THE UNITED","HIGH SCHOOL GRAD-DIPLOMA OR","vote"
34,"MALE","White Only","NON-HISPANIC","NATIVE, BORN IN THE UNITED","BACHELOR'S DEGREE","vote"
33,"MALE","White Only","NON-HISPANIC","NATIVE, BORN IN THE UNITED","MASTER'S DEGREE (EX: MA, MS,","vote"
29,"FEMALE","Black Only","NON-HISPANIC","NATIVE, BORN IN THE UNITED","SOME COLLEGE BUT NO DEGREE","vote"
44,"FEMALE","White Only","NON-HISPANIC","NATIVE, BORN IN THE UNITED","HIGH SCHOOL GRAD-DIPLOMA OR","did not vote"
61,"MALE","White Only","NON-HISPANIC","NATIVE, BORN IN THE UNITED","ASSOCIATE DEGREE-OCCUPATIONAL/","did not vote"
60,"FEMALE","White Only","NON-HISPANIC","NATIVE, BORN IN THE UNITED","SOME COLLEGE BUT NO DEGREE","did not vote"
68,"MALE","White Only","NON-HISPANIC","NATIVE, BORN IN THE UNITED","HIGH SCHOOL GRAD-DIPLOMA OR","did not vote"
47,"FEMALE","White Only","NON-HISPANIC","NATIVE, BORN IN THE UNITED","BACHELOR'S DEGREE","did not vote"
53,"FEMALE","White Only","NON-HISPANIC","NATIVE, BORN IN THE UNITED","BACHELOR'S DEGREE","did not vote"
26,"FEMALE","Black Only","NON-HISPANIC","NATIVE, BORN IN THE UNITED","SOME COLLEGE BUT NO DEGREE","vote"
43,"FEMALE","Black Only","NON-HISPANIC","NATIVE, BORN IN THE UNITED","HIGH SCHOOL GRAD-DIPLOMA OR","vote"
33,"MALE","White Only","HISPANIC","NATIVE, BORN IN THE UNITED","HIGH SCHOOL GRAD-DIPLOMA OR","vote"
43,"MALE","White Only","NON-HISPANIC","NATIVE, BORN IN THE UNITED","SOME COLLEGE BUT NO DEGREE","vote"
61,"MALE","White Only","NON-HISPANIC","NATIVE, BORN IN THE UNITED","HIGH SCHOOL GRAD-DIPLOMA OR","did not vote"
64,"FEMALE","White Only","NON-HISPANIC","NATIVE, BORN IN THE UNITED","ASSOCIATE DEGREE-OCCUPATIONAL/","did not vote"
34,"MALE","White Only","HISPANIC","FOREIGN BORN, U.S. CITIZEN BY","11TH GRADE","did not vote"
31,"MALE","White Only","HISPANIC","NATIVE, BORN IN THE UNITED","MASTER'S DEGREE (EX: MA, MS,","vote"
69,"MALE","White Only","NON-HISPANIC","NATIVE, BORN IN THE UNITED","BACHELOR'S DEGREE","did not vote"
38,"FEMALE","White Only","NON-HISPANIC","NATIVE, BORN IN THE UNITED","MASTER'S DEGREE (EX: MA, MS,","did not vote"
55,"MALE","Black Only","NON-HISPANIC","NATIVE, BORN IN THE UNITED","12TH GRADE NO DIPLOMA","did not vote"
31,"MALE","White Only","NON-HISPANIC","NATIVE, BORN IN THE UNITED","PROFESSIONAL SCHOOL DEG","vote"
22,"FEMALE","White Only","NON-HISPANIC","NATIVE, BORN IN THE UNITED","SOME COLLEGE BUT NO DEGREE","did not vote"
60,"FEMALE","White Only","NON-HISPANIC","FOREIGN BORN, U.S. CITIZEN BY","ASSOCIATE DEGREE-ACADEMIC","did not vote"
43,"MALE","White Only","NON-HISPANIC","NATIVE, BORN IN THE UNITED","HIGH SCHOOL GRAD-DIPLOMA OR","vote"
38,"FEMALE","American Indian, Alaskan","NON-HISPANIC","NATIVE, BORN IN THE UNITED","ASSOCIATE DEGREE-OCCUPATIONAL/","vote"
51,"FEMALE","White Only","NON-HISPANIC","NATIVE, BORN IN THE UNITED","BACHELOR'S DEGREE","vote"
85,"FEMALE","White Only","NON-HISPANIC","NATIVE, BORN IN THE UNITED","HIGH SCHOOL GRAD-DIPLOMA OR","did not vote"
42,"MALE","White Only","NON-HISPANIC","NATIVE, BORN IN THE UNITED","SOME COLLEGE BUT NO DEGREE","vote"
49,"FEMALE","White Only","NON-HISPANIC","NATIVE, BORN IN THE UNITED","ASSOCIATE DEGREE-OCCUPATIONAL/","vote"
36,"FEMALE","Asian Only","NON-HISPANIC","FOREIGN BORN, U.S. CITIZEN BY","BACHELOR'S DEGREE","vote"
62,"MALE","White Only","NON-HISPANIC","NATIVE, BORN IN THE UNITED","9TH GRADE","did not vote"
55,"FEMALE","White Only","NON-HISPANIC","FOREIGN BORN, U.S. CITIZEN BY","MASTER'S DEGREE (EX: MA, MS,","did not vote"
19,"MALE","Black Only","NON-HISPANIC","NATIVE, BORN IN THE UNITED","9TH GRADE","vote"
51,"FEMALE","White Only","NON-HISPANIC","NATIVE, BORN IN THE UNITED","HIGH SCHOOL GRAD-DIPLOMA OR","did not vote"
63,"MALE","White Only","NON-HISPANIC","NATIVE, BORN IN THE UNITED","ASSOCIATE DEGREE-OCCUPATIONAL/","did not vote"
79,"FEMALE","White Only","NON-HISPANIC","NATIVE, BORN IN THE UNITED","MASTER'S DEGREE (EX: MA, MS,","did not vote"
50,"FEMALE","White Only","NON-HISPANIC","NATIVE, BORN IN THE UNITED","SOME COLLEGE BUT NO DEGREE","did not vote"
75,"FEMALE","White Only","NON-HISPANIC","NATIVE, BORN IN THE UNITED","BACHELOR'S DEGREE","did not vote"
48,"FEMALE","Black Only","NON-HISPANIC","NATIVE, BORN IN THE UNITED","HIGH SCHOOL GRAD-DIPLOMA OR","did not vote"
52,"FEMALE","White Only","NON-HISPANIC","NATIVE, BORN IN THE UNITED","MASTER'S DEGREE (EX: MA, MS,","did not vote"
20,"MALE","White Only","NON-HISPANIC","NATIVE, BORN IN THE UNITED","SOME COLLEGE BUT NO DEGREE","vote"
42,"FEMALE","White Only","NON-HISPANIC","NATIVE, BORN IN THE UNITED","BACHELOR'S DEGREE","vote"
48,"FEMALE","Black Only","NON-HISPANIC","NATIVE, BORN IN THE UNITED","9TH GRADE","vote"
73,"FEMALE","White Only","NON-HISPANIC","NATIVE, BORN IN THE UNITED","SOME COLLEGE BUT NO DEGREE","did not vote"
59,"MALE","White Only","NON-HISPANIC","NATIVE, BORN IN THE UNITED","MASTER'S DEGREE (EX: MA, MS,","did not vote"
59,"FEMALE","White Only","NON-HISPANIC","NATIVE, BORN IN THE UNITED","MASTER'S DEGREE (EX: MA, MS,","did not vote"
18,"MALE","White Only","NON-HISPANIC","NATIVE, BORN IN THE UNITED","SOME COLLEGE BUT NO DEGREE","vote"
71,"FEMALE","White Only","NON-HISPANIC","NATIVE, BORN IN THE UNITED","SOME COLLEGE BUT NO DEGREE","did not vote"
55,"MALE","White Only","NON-HISPANIC","NATIVE, BORN IN THE UNITED","SOME COLLEGE BUT NO DEGREE","did not vote"
54,"FEMALE","White Only","NON-HISPANIC","NATIVE, BORN IN THE UNITED","HIGH SCHOOL GRAD-DIPLOMA OR","did not vote"
41,"MALE","White Only","NON-HISPANIC","NATIVE, BORN IN THE UNITED","12TH GRADE NO DIPLOMA","did not vote"
52,"FEMALE","White Only","NON-HISPANIC","NATIVE, BORN IN THE UNITED","ASSOCIATE DEGREE-OCCUPATIONAL/","did not vote"
60,"MALE","White Only","NON-HISPANIC","NATIVE, BORN IN THE UNITED","SOME COLLEGE BUT NO DEGREE","did not vote"
51,"MALE","White Only","NON-HISPANIC","NATIVE, BORN IN THE UNITED","BACHELOR'S DEGREE","did not vote"
70,"FEMALE","White Only","NON-HISPANIC","NATIVE, BORN IN THE UNITED","SOME COLLEGE BUT NO DEGREE","did not vote"
27,"FEMALE","White Only","NON-HISPANIC","NATIVE, BORN IN THE UNITED","BACHELOR'S DEGREE","vote"
38,"MALE","White Only","NON-HISPANIC","NATIVE, BORN IN THE UNITED","BACHELOR'S DEGREE","vote"
76,"MALE","White Only","NON-HISPANIC","NATIVE, BORN IN THE UNITED","HIGH SCHOOL GRAD-DIPLOMA OR","did not vote"
62,"MALE","White Only","NON-HISPANIC","NATIVE, BORN IN THE UNITED","HIGH SCHOOL GRAD-DIPLOMA OR","did not vote"
39,"MALE","White Only","NON-HISPANIC","NATIVE, BORN IN THE UNITED","MASTER'S DEGREE (EX: MA, MS,","vote"
40,"MALE","White Only","NON-HISPANIC","NATIVE, BORN IN THE UNITED","HIGH SCHOOL GRAD-DIPLOMA OR","vote"
69,"FEMALE","Black Only","NON-HISPANIC","NATIVE, BORN IN THE UNITED","HIGH SCHOOL GRAD-DIPLOMA OR","did not vote"
22,"MALE","White Only","NON-HISPANIC","NATIVE, BORN IN THE UNITED","HIGH SCHOOL GRAD-DIPLOMA OR","vote"
21,"MALE","White Only","NON-HISPANIC","NATIVE, BORN IN THE UNITED","ASSOCIATE DEGREE-OCCUPATIONAL/","vote"
29,"FEMALE","White Only","NON-HISPANIC","NATIVE, BORN IN THE UNITED","ASSOCIATE DEGREE-ACADEMIC","vote"
57,"MALE","White Only","NON-HISPANIC","NATIVE, BORN IN THE UNITED","BACHELOR'S DEGREE","did not vote"
35,"FEMALE","White Only","NON-HISPANIC","NATIVE, BORN IN THE UNITED","PROFESSIONAL SCHOOL DEG","vote"
33,"MALE","White Only","NON-HISPANIC","NATIVE, BORN IN THE UNITED","DOCTORATE DEGREE","vote"
19,"MALE","White Only","NON-HISPANIC","NATIVE, BORN IN THE UNITED","SOME COLLEGE BUT NO DEGREE","vote"
30,"FEMALE","Hawaiian/Pacific Islander Only","NON-HISPANIC","FOREIGN BORN, U.S. CITIZEN BY","SOME COLLEGE BUT NO DEGREE","vote"
69,"FEMALE","White Only","NON-HISPANIC","NATIVE, BORN IN THE UNITED","SOME COLLEGE BUT NO DEGREE","did not vote"
66,"FEMALE","White Only","NON-HISPANIC","NATIVE, BORN IN THE UNITED","ASSOCIATE DEGREE-OCCUPATIONAL/","did not vote"
62,"MALE","Black Only","NON-HISPANIC","NATIVE, BORN IN THE UNITED","HIGH SCHOOL GRAD-DIPLOMA OR","did not vote"
33,"MALE","White Only","NON-HISPANIC","NATIVE, BORN IN THE UNITED","HIGH SCHOOL GRAD-DIPLOMA OR","vote"
39,"MALE","Asian Only","NON-HISPANIC","FOREIGN BORN, U.S. CITIZEN BY","HIGH SCHOOL GRAD-DIPLOMA OR","vote"
40,"FEMALE","White Only","NON-HISPANIC","NATIVE, BORN IN THE UNITED","BACHELOR'S DEGREE","vote"
37,"FEMALE","White Only","NON-HISPANIC","NATIVE, BORN IN THE UNITED","HIGH SCHOOL GRAD-DIPLOMA OR","vote"
50,"FEMALE","White Only","NON-HISPANIC","NATIVE, BORN IN THE UNITED","ASSOCIATE DEGREE-OCCUPATIONAL/","did not vote"
48,"FEMALE","White Only","NON-HISPANIC","NATIVE, BORN IN THE UNITED","BACHELOR'S DEGREE","did not vote"
54,"MALE","White Only","NON-HISPANIC","NATIVE, BORN IN THE UNITED","ASSOCIATE DEGREE-OCCUPATIONAL/","did not vote"
54,"FEMALE","White Only","NON-HISPANIC","NATIVE, BORN IN THE UNITED","SOME COLLEGE BUT NO DEGREE","vote"
69,"MALE","White Only","NON-HISPANIC","NATIVE, BORN IN THE UNITED","10TH GRADE","did not vote"
35,"FEMALE","Black Only","NON-HISPANIC","NATIVE, BORN IN THE UNITED","11TH GRADE","vote"
59,"FEMALE","White Only","NON-HISPANIC","NATIVE, BORN IN THE UNITED","SOME COLLEGE BUT NO DEGREE","did not vote"
54,"FEMALE","White Only","NON-HISPANIC","NATIVE, BORN IN THE UNITED","BACHELOR'S DEGREE","did not vote"
42,"FEMALE","White Only","NON-HISPANIC","NATIVE, BORN IN THE UNITED","SOME COLLEGE BUT NO DEGREE","vote"
51,"FEMALE","White Only","NON-HISPANIC","NATIVE, BORN IN THE UNITED","BACHELOR'S DEGREE","vote"
22,"MALE","White Only","NON-HISPANIC","NATIVE, BORN IN THE UNITED","ASSOCIATE DEGREE-ACADEMIC","vote"
34,"MALE","Black Only","NON-HISPANIC","NATIVE, BORN IN THE UNITED","HIGH SCHOOL GRAD-DIPLOMA OR","vote"
48,"MALE","White Only","NON-HISPANIC","NATIVE, BORN IN THE UNITED","HIGH SCHOOL GRAD-DIPLOMA OR","did not vote"
68,"MALE","White Only","NON-HISPANIC","NATIVE, BORN IN THE UNITED","HIGH SCHOOL GRAD-DIPLOMA OR","did not vote"
38,"FEMALE","White Only","NON-HISPANIC","NATIVE, BORN IN THE UNITED","BACHELOR'S DEGREE","vote"
38,"FEMALE","White Only","NON-HISPANIC","NATIVE, BORN IN THE UNITED","SOME COLLEGE BUT NO DEGREE","vote"
40,"MALE","White Only","HISPANIC","NATIVE, BORN IN THE UNITED","SOME COLLEGE BUT NO DEGREE","vote"
43,"MALE","White Only","NON-HISPANIC","NATIVE, BORN IN THE UNITED","HIGH SCHOOL GRAD-DIPLOMA OR","vote"
49,"FEMALE","White Only","NON-HISPANIC","NATIVE, BORN IN THE UNITED","BACHELOR'S DEGREE","did not vote"
78,"FEMALE","White Only","NON-HISPANIC","NATIVE, BORN IN THE UNITED","SOME COLLEGE BUT NO DEGREE","did not vote"
47,"FEMALE","Black Only","NON-HISPANIC","NATIVE, BORN IN THE UNITED","12TH GRADE NO DIPLOMA","vote"
41,"FEMALE","White Only","NON-HISPANIC","NATIVE, BORN IN THE UNITED","BACHELOR'S DEGREE","vote"
49,"FEMALE","White Only","NON-HISPANIC","NATIVE, BORN IN THE UNITED","HIGH SCHOOL GRAD-DIPLOMA OR","did not vote"
32,"MALE","White Only","NON-HISPANIC","NATIVE, BORN IN THE UNITED","HIGH SCHOOL GRAD-DIPLOMA OR","vote"
31,"FEMALE","Black Only","NON-HISPANIC","NATIVE, BORN IN THE UNITED","HIGH SCHOOL GRAD-DIPLOMA OR","vote"
51,"MALE","White Only","NON-HISPANIC","NATIVE, BORN IN THE UNITED","SOME COLLEGE BUT NO DEGREE","did not vote"
47,"FEMALE","White Only","NON-HISPANIC","NATIVE, BORN IN THE UNITED","HIGH SCHOOL GRAD-DIPLOMA OR","vote"
67,"FEMALE","Black-AI","NON-HISPANIC","NATIVE, BORN IN THE UNITED","ASSOCIATE DEGREE-OCCUPATIONAL/","did not vote"
49,"FEMALE","White Only","NON-HISPANIC","NATIVE, BORN IN THE UNITED","SOME COLLEGE BUT NO DEGREE","did not vote"
43,"FEMALE","White Only","NON-HISPANIC","NATIVE, BORN IN THE UNITED","DOCTORATE DEGREE","vote"
85,"MALE","White Only","NON-HISPANIC","NATIVE, BORN IN THE UNITED","7TH OR 8TH GRADE","did not vote"
34,"MALE","White Only","NON-HISPANIC","NATIVE, BORN IN THE UNITED","BACHELOR'S DEGREE","vote"
57,"FEMALE","White Only","NON-HISPANIC","NATIVE, BORN IN THE UNITED","BACHELOR'S DEGREE","did not vote"
51,"MALE","White Only","NON-HISPANIC","NATIVE, BORN IN THE UNITED","SOME COLLEGE BUT NO DEGREE","vote"
47,"MALE","White Only","NON-HISPANIC","NATIVE, BORN ABROAD OF","HIGH SCHOOL GRAD-DIPLOMA OR","vote"
61,"FEMALE","White Only","NON-HISPANIC","NATIVE, BORN IN THE UNITED","SOME COLLEGE BUT NO DEGREE","did not vote"
25,"FEMALE","White Only","NON-HISPANIC","NATIVE, BORN IN THE UNITED","SOME COLLEGE BUT NO DEGREE","vote"
65,"MALE","White Only","NON-HISPANIC","FOREIGN BORN, U.S. CITIZEN BY","PROFESSIONAL SCHOOL DEG","did not vote"
78,"MALE","White Only","NON-HISPANIC","NATIVE, BORN IN THE UNITED","SOME COLLEGE BUT NO DEGREE","did not vote"
77,"FEMALE","White Only","NON-HISPANIC","NATIVE, BORN IN THE UNITED","HIGH SCHOOL GRAD-DIPLOMA OR","did not vote"
80,"MALE","White Only","NON-HISPANIC","FOREIGN BORN, U.S. CITIZEN BY","7TH OR 8TH GRADE","did not vote"
23,"FEMALE","White Only","NON-HISPANIC","NATIVE, BORN IN THE UNITED","SOME COLLEGE BUT NO DEGREE","vote"
40,"FEMALE","White Only","NON-HISPANIC","NATIVE, BORN IN THE UNITED","SOME COLLEGE BUT NO DEGREE","vote"
52,"FEMALE","White Only","NON-HISPANIC","NATIVE, BORN IN THE UNITED","BACHELOR'S DEGREE","vote"
32,"MALE","White Only","NON-HISPANIC","NATIVE, BORN IN THE UNITED","SOME COLLEGE BUT NO DEGREE","vote"
59,"FEMALE","American Indian, Alaskan","NON-HISPANIC","NATIVE, BORN IN THE UNITED","SOME COLLEGE BUT NO DEGREE","did not vote"
38,"MALE","White Only","NON-HISPANIC","NATIVE, BORN IN THE UNITED","HIGH SCHOOL GRAD-DIPLOMA OR","vote"
51,"FEMALE","White Only","NON-HISPANIC","FOREIGN BORN, U.S. CITIZEN BY","HIGH SCHOOL GRAD-DIPLOMA OR","did not vote"
32,"MALE","White Only","NON-HISPANIC","NATIVE, BORN IN THE UNITED","MASTER'S DEGREE (EX: MA, MS,","vote"
39,"MALE","Black Only","NON-HISPANIC","NATIVE, BORN IN THE UNITED","MASTER'S DEGREE (EX: MA, MS,","vote"
72,"FEMALE","White Only","NON-HISPANIC","NATIVE, BORN IN THE UNITED","BACHELOR'S DEGREE","did not vote"
55,"FEMALE","White Only","NON-HISPANIC","NATIVE, BORN IN THE UNITED","BACHELOR'S DEGREE","did not vote"
51,"MALE","Black Only","NON-HISPANIC","NATIVE, BORN IN THE UNITED","BACHELOR'S DEGREE","vote"
49,"MALE","White Only","NON-HISPANIC","NATIVE, BORN IN THE UNITED","SOME COLLEGE BUT NO DEGREE","did not vote"
63,"FEMALE","White Only","NON-HISPANIC","NATIVE, BORN IN THE UNITED","11TH GRADE","did not vote"
40,"MALE","Black Only","NON-HISPANIC","NATIVE, BORN IN THE UNITED","SOME COLLEGE BUT NO DEGREE","vote"
59,"MALE","White Only","NON-HISPANIC","NATIVE, BORN IN THE UNITED","10TH GRADE","did not vote"
48,"MALE","White Only","NON-HISPANIC","NATIVE, BORN IN THE UNITED","HIGH SCHOOL GRAD-DIPLOMA OR","vote"
50,"FEMALE","White Only","NON-HISPANIC","NATIVE, BORN IN THE UNITED","HIGH SCHOOL GRAD-DIPLOMA OR","did not vote"
52,"FEMALE","White Only","NON-HISPANIC","NATIVE, BORN IN THE UNITED","BACHELOR'S DEGREE","did not vote"
35,"FEMALE","White Only","NON-HISPANIC","NATIVE, BORN IN THE UNITED","MASTER'S DEGREE (EX: MA, MS,","did not vote"
46,"MALE","White Only","NON-HISPANIC","NATIVE, BORN IN THE UNITED","HIGH SCHOOL GRAD-DIPLOMA OR","vote"
55,"FEMALE","White Only","NON-HISPANIC","NATIVE, BORN IN THE UNITED","HIGH SCHOOL GRAD-DIPLOMA OR","did not vote"
60,"FEMALE","White Only","NON-HISPANIC","NATIVE, BORN IN THE UNITED","ASSOCIATE DEGREE-ACADEMIC","did not vote"
42,"FEMALE","White Only","NON-HISPANIC","NATIVE, BORN IN THE UNITED","ASSOCIATE DEGREE-OCCUPATIONAL/","vote"
71,"FEMALE","White Only","NON-HISPANIC","NATIVE, BORN IN THE UNITED","HIGH SCHOOL GRAD-DIPLOMA OR","did not vote"
79,"FEMALE","White Only","NON-HISPANIC","NATIVE, BORN IN THE UNITED","HIGH SCHOOL GRAD-DIPLOMA OR","did not vote"
79,"MALE","White Only","NON-HISPANIC","NATIVE, BORN IN THE UNITED","HIGH SCHOOL GRAD-DIPLOMA OR","did not vote"
66,"FEMALE","White Only","NON-HISPANIC","NATIVE, BORN IN THE UNITED","HIGH SCHOOL GRAD-DIPLOMA OR","did not vote"
56,"MALE","White Only","NON-HISPANIC","NATIVE, BORN IN THE UNITED","SOME COLLEGE BUT NO DEGREE","did not vote"
38,"MALE","White Only","NON-HISPANIC","NATIVE, BORN IN THE UNITED","SOME COLLEGE BUT NO DEGREE","vote"
19,"MALE","White Only","NON-HISPANIC","NATIVE, BORN IN THE UNITED","HIGH SCHOOL GRAD-DIPLOMA OR","vote"
61,"MALE","White Only","NON-HISPANIC","NATIVE, BORN IN THE UNITED","SOME COLLEGE BUT NO DEGREE","did not vote"
51,"MALE","White Only","NON-HISPANIC","NATIVE, BORN IN THE UNITED","SOME COLLEGE BUT NO DEGREE","did not vote"
80,"FEMALE","White Only","NON-HISPANIC","NATIVE, BORN IN THE UNITED","BACHELOR'S DEGREE","did not vote"
40,"MALE","White Only","NON-HISPANIC","NATIVE, BORN IN THE UNITED","HIGH SCHOOL GRAD-DIPLOMA OR","vote"
27,"MALE","Black Only","NON-HISPANIC","NATIVE, BORN IN THE UNITED","BACHELOR'S DEGREE","vote"
23,"FEMALE","Black Only","NON-HISPANIC","NATIVE, BORN IN THE UNITED","SOME COLLEGE BUT NO DEGREE","vote"
37,"FEMALE","Black Only","NON-HISPANIC","NATIVE, BORN IN THE UNITED","HIGH SCHOOL GRAD-DIPLOMA OR","vote"
52,"FEMALE","White Only","NON-HISPANIC","NATIVE, BORN IN THE UNITED","ASSOCIATE DEGREE-OCCUPATIONAL/","did not vote"
61,"MALE","White Only","NON-HISPANIC","NATIVE, BORN IN THE UNITED","HIGH SCHOOL GRAD-DIPLOMA OR","did not vote"
49,"MALE","White Only","NON-HISPANIC","NATIVE, BORN IN THE UNITED","HIGH SCHOOL GRAD-DIPLOMA OR","vote"
38,"MALE","White Only","NON-HISPANIC","NATIVE, BORN IN THE UNITED","HIGH SCHOOL GRAD-DIPLOMA OR","vote"
29,"FEMALE","White Only","NON-HISPANIC","NATIVE, BORN IN THE UNITED","SOME COLLEGE BUT NO DEGREE","vote"
23,"FEMALE","Asian Only","NON-HISPANIC","NATIVE, BORN IN THE UNITED","BACHELOR'S DEGREE","vote"
51,"MALE","White Only","NON-HISPANIC","NATIVE, BORN IN THE UNITED","BACHELOR'S DEGREE","did not vote"
44,"FEMALE","White Only","NON-HISPANIC","NATIVE, BORN IN THE UNITED","SOME COLLEGE BUT NO DEGREE","vote"
45,"FEMALE","White Only","HISPANIC","FOREIGN BORN, U.S. CITIZEN BY","5TH OR 6TH GRADE","did not vote"
46,"FEMALE","White Only","NON-HISPANIC","NATIVE, BORN IN THE UNITED","SOME COLLEGE BUT NO DEGREE","vote"
46,"FEMALE","White Only","NON-HISPANIC","NATIVE, BORN IN THE UNITED","BACHELOR'S DEGREE","vote"
35,"FEMALE","White Only","NON-HISPANIC","NATIVE, BORN IN THE UNITED","ASSOCIATE DEGREE-OCCUPATIONAL/","vote"
26,"MALE","White Only","NON-HISPANIC","NATIVE, BORN IN THE UNITED","SOME COLLEGE BUT NO DEGREE","did not vote"
39,"MALE","White Only","NON-HISPANIC","NATIVE, BORN IN THE UNITED","ASSOCIATE DEGREE-OCCUPATIONAL/","vote"
48,"FEMALE","White Only","NON-HISPANIC","NATIVE, BORN IN THE UNITED","HIGH SCHOOL GRAD-DIPLOMA OR","did not vote"
57,"FEMALE","White Only","NON-HISPANIC","NATIVE, BORN IN THE UNITED","PROFESSIONAL SCHOOL DEG","did not vote"
49,"FEMALE","White Only","NON-HISPANIC","NATIVE, BORN IN THE UNITED","SOME COLLEGE BUT NO DEGREE","did not vote"
39,"MALE","White Only","NON-HISPANIC","NATIVE, BORN IN THE UNITED","BACHELOR'S DEGREE","vote"
51,"MALE","White Only","NON-HISPANIC","NATIVE, BORN IN THE UNITED","SOME COLLEGE BUT NO DEGREE","did not vote"
50,"FEMALE","White Only","NON-HISPANIC","NATIVE, BORN IN THE UNITED","HIGH SCHOOL GRAD-DIPLOMA OR","did not vote"
39,"FEMALE","White Only","NON-HISPANIC","NATIVE, BORN IN THE UNITED","SOME COLLEGE BUT NO DEGREE","vote"
46,"MALE","White Only","NON-HISPANIC","NATIVE, BORN IN THE UNITED","BACHELOR'S DEGREE","did not vote"
55,"MALE","White Only","NON-HISPANIC","NATIVE, BORN IN THE UNITED","HIGH SCHOOL GRAD-DIPLOMA OR","did not vote"
37,"FEMALE","White Only","HISPANIC","NATIVE, BORN IN THE UNITED","HIGH SCHOOL GRAD-DIPLOMA OR","vote"
47,"MALE","White Only","NON-HISPANIC","NATIVE, BORN IN THE UNITED","BACHELOR'S DEGREE","did not vote"
65,"FEMALE","White Only","NON-HISPANIC","NATIVE, BORN IN THE UNITED","HIGH SCHOOL GRAD-DIPLOMA OR","did not vote"
69,"MALE","White Only","NON-HISPANIC","NATIVE, BORN IN THE UNITED","HIGH SCHOOL GRAD-DIPLOMA OR","did not vote"
27,"MALE","White Only","NON-HISPANIC","NATIVE, BORN IN THE UNITED","SOME COLLEGE BUT NO DEGREE","vote"
50,"MALE","White Only","NON-HISPANIC","NATIVE, BORN IN THE UNITED","BACHELOR'S DEGREE","did not vote"
74,"FEMALE","White Only","NON-HISPANIC","NATIVE, BORN IN THE UNITED","SOME COLLEGE BUT NO DEGREE","did not vote"
70,"MALE","White Only","NON-HISPANIC","NATIVE, BORN IN THE UNITED","HIGH SCHOOL GRAD-DIPLOMA OR","did not vote"
22,"FEMALE","White Only","NON-HISPANIC","NATIVE, BORN IN THE UNITED","SOME COLLEGE BUT NO DEGREE","vote"
70,"FEMALE","White Only","NON-HISPANIC","NATIVE, BORN IN THE UNITED","BACHELOR'S DEGREE","did not vote"
21,"MALE","White Only","NON-HISPANIC","NATIVE, BORN IN THE UNITED","HIGH SCHOOL GRAD-DIPLOMA OR","vote"
23,"FEMALE","White Only","NON-HISPANIC","NATIVE, BORN IN THE UNITED","BACHELOR'S DEGREE","vote"
54,"FEMALE","White Only","NON-HISPANIC","NATIVE, BORN IN THE UNITED","BACHELOR'S DEGREE","vote"
72,"MALE","White Only","NON-HISPANIC","NATIVE, BORN IN THE UNITED","ASSOCIATE DEGREE-ACADEMIC","did not vote"
54,"FEMALE","White Only","NON-HISPANIC","NATIVE, BORN IN THE UNITED","BACHELOR'S DEGREE","did not vote"
72,"FEMALE","White Only","NON-HISPANIC","NATIVE, BORN IN THE UNITED","SOME COLLEGE BUT NO DEGREE","did not vote"
26,"FEMALE","White Only","NON-HISPANIC","NATIVE, BORN IN THE UNITED","ASSOCIATE DEGREE-OCCUPATIONAL/","vote"
40,"MALE","White Only","NON-HISPANIC","NATIVE, BORN IN THE UNITED","SOME COLLEGE BUT NO DEGREE","vote"
